member,blank_length_mm,blank_width_mm,blank_thickness_mm,description
main_lower_left,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_lower_right,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_left,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_right,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_left,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_right,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_left,2608.023990442487,139.7,38.1,"Single nominal 2x6 outer rim; grain along slope; level bearing cut; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_side_right,2608.023990442487,139.7,38.1,"Single nominal 2x6 outer rim; grain along slope; level bearing cut; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_rail_top,2362.2000000000003,139.7,38.1,"Single nominal 2x6 top crossmember; grain X; square cut; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_header,2438.4,234.95,38.1,"Single nominal 2x10 flat header; retained front datum and height; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_post_outer_left,186.9,234.95,38.1,"Single nominal 2x10 outer post; full-depth header support; retained gusset bolt grips; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
base_post_outer_right,186.9,234.95,38.1,"Single nominal 2x10 outer post; full-depth header support; retained gusset bolt grips; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
lumber_leg_left,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
