part,kind,dimension_1_mm,dimension_2_mm,dimension_3_mm,description
main_lower_left,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_lower_right,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_left,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_right,part,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_left,part,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_right,part,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_left,part,2608.023990442487,139.7,38.1,"Single nominal 2x6 outer rim; grain along slope; level bearing cut; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_side_right,part,2608.023990442487,139.7,38.1,"Single nominal 2x6 outer rim; grain along slope; level bearing cut; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_rail_top,part,2362.2000000000003,139.7,38.1,"Single nominal 2x6 top crossmember; grain X; square cut; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_header,part,2438.4,234.95,38.1,"Single nominal 2x10 flat header; retained front datum and height; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_outer_left,part,186.9,139.7,38.1,"Single nominal 2x6 outer post; vertical grain; square ends; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_outer_right,part,186.9,139.7,38.1,"Single nominal 2x6 outer post; vertical grain; square ends; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
timber_base_gusset_left,part,460.0,285.75,19.05,"Removable 3/4 in plywood side gusset; face grain vertical; four through-bolts; plywood thickness assumed, not purchased-face measurement; Development geometry; connections and structural resistance unqualified; NOT build-ready"
timber_base_gusset_right,part,460.0,285.75,19.05,"Removable 3/4 in plywood side gusset; face grain vertical; four through-bolts; plywood thickness assumed, not purchased-face measurement; Development geometry; connections and structural resistance unqualified; NOT build-ready"
lumber_leg_left,part,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
lumber_leg_right,part,1807.9717682704706,139.7,38.1,"Single nominal 2x6 leg; retained square top and level foot; relocated bolt group; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_center,part,2532.626011836657,139.7,63.5,"Single nominal 3x6 center principal; square lower bearing cut; front service pockets; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_center,part,186.9,139.7,63.5,"Single nominal 3x6 center post; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_left_1,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_left_1,part,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_left_2,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_left_2,part,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_right_1,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_post_right_1,part,186.9,234.95,38.1,"Single nominal 2x10 vertical-grain post; full header-depth support beneath added principal; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
base_principal_right_2,part,2532.626011836657,139.7,38.1,"Independent single nominal 2x6 principal; no service pockets or lower housing; level full bearing cut; grain along slope; Four additional independent single 2x6 principals; no horizontal seam rails; single 2x10 posts below added principals; retained center and outer members; panel spans, connections, header bending and stability unqualified; NOT build-ready"
