member,blank_length_mm,blank_width_mm,blank_thickness_mm,description
main_lower_left,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_lower_right,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_left,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_right,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_left,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_right,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_left,2608.023990442487,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_side_right,2608.023990442487,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_rail_top,2362.2000000000003,139.7,38.1,"Continuous square-cut 2x6 top crossmember; grain X; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_header,2438.4,139.7,38.1,"Single nominal 2x6 flat header; grain X; 2x6 sloped bearing footprint requires 187.863 mm depth from retained kicker datum, exceeding the 139.7 mm retained header; incomplete bearing deliberately preserved; Geometric fit revision only; header bending, post load distribution, fastener resistance and floor stability unqualified; NOT build-ready"
base_post_outer_left,186.9,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_post_outer_right,186.9,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
timber_base_gusset_left,460.0,285.75,19.05,"Removable 3/4 in plywood side gusset; face grain vertical; four through-bolts; plywood thickness assumed, not purchased-face measurement; Development geometry; connections and structural resistance unqualified; NOT build-ready"
timber_base_gusset_right,460.0,285.75,19.05,"Removable 3/4 in plywood side gusset; face grain vertical; four through-bolts; plywood thickness assumed, not purchased-face measurement; Development geometry; connections and structural resistance unqualified; NOT build-ready"
lumber_leg_left,1807.9717682704706,139.7,38.1,"Nominal 2x6; grain along length; square top150mm past bolt centroid; level foot; Spread-group experiment; geometry only, NOT build-ready or strength-qualified"
lumber_leg_right,1807.9717682704706,139.7,38.1,"Nominal 2x6; grain along length; square top150mm past bolt centroid; level foot; Spread-group experiment; geometry only, NOT build-ready or strength-qualified"
base_principal_center,2532.626011836657,139.7,38.1,"One centered 2x6; no lower housing; front hold/LED service pockets remain; One single 2x6 per framing line, including header; shared seam screw margins, service pockets, bearing, connections and stability unqualified; NOT build-ready"
base_post_center,186.9,139.7,38.1,"One square-cut central 2x6 post; One single 2x6 per framing line, including header; shared seam screw margins, service pockets, bearing, connections and stability unqualified; NOT build-ready"
base_rail_mid_left,1162.0500000000002,139.7,38.1,"One shared seam rail; front LED service pockets; One single 2x6 per framing line, including header; shared seam screw margins, service pockets, bearing, connections and stability unqualified; NOT build-ready"
base_rail_bottom_left,1162.0500000000002,139.7,38.1,"Square-cut lower rail between members; no light relief cuts; One single 2x6 per framing line, including header; shared seam screw margins, service pockets, bearing, connections and stability unqualified; NOT build-ready"
base_rail_mid_right,1162.0500000000002,139.7,38.1,"One shared seam rail; front LED service pockets; One single 2x6 per framing line, including header; shared seam screw margins, service pockets, bearing, connections and stability unqualified; NOT build-ready"
base_rail_bottom_right,1162.0500000000002,139.7,38.1,"Square-cut lower rail between members; no light relief cuts; One single 2x6 per framing line, including header; shared seam screw margins, service pockets, bearing, connections and stability unqualified; NOT build-ready"
