member,blank_length_mm,blank_width_mm,blank_thickness_mm,description
main_lower_left,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_lower_right,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_left,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
main_upper_right,1219.2,1219.2,18.256249999999998,"Purchased 23/32 CAT face; unchanged main backplane; opt-in panel_grid_v2 datums; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_left,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
kicker_right,1219.2,225.0,18.256249999999998,"225mm kicker; ten total active-zone T-nut holes; no main-grid LEDs in kicker; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_side_left,2608.023990442487,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_side_right,2608.023990442487,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_principal_left,2532.626011836657,139.7,38.1,"Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_principal_right,2532.626011836657,139.7,38.1,"Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_rail_top,2362.2000000000003,139.7,38.1,"Continuous square-cut 2x6 top crossmember; grain X; GEOMETRY CONCEPT ONLY; retention, service access and structural capacity unqualified; NOT build-ready"
base_rail_mid_lower_left,1104.9,139.7,38.1,"Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_rail_mid_lower_right,1143.0000000000002,139.7,38.1,"Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_rail_mid_upper_left,1104.9,139.7,38.1,"Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_rail_mid_upper_right,1143.0000000000002,139.7,38.1,"Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_header,2438.4,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
base_post_outer_left,186.9,139.7,38.1,"Single 2x6 direct substitution; retained axes may fail fit; Single-member 2x6 development; no lower principal housing or continuous bottom backing; connection resistance, panel-edge support and floor stability unqualified; NOT build-ready"
