assembly,part,quantity,length_mm,width_mm,thickness_mm,note
climbing surface,main climbing panel,4,1218.0,1218.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
climbing surface,kicker panel,2,1218.0,225.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,face-rail lamination segment,20,1218.0,180.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,rail-bearing-block lamination,40,80.0,60.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,main-seam-bearing-block lamination,10,180.0,60.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,kicker-blank-extension backing lamination,4,1218.0,75.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,kicker-backing seam-splice lamination,2,400.0,75.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,kicker-main side-gusset lamination (trim profile),4,400.0,470.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,rear-tie-half lamination,12,1308.0,180.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,rail-cross-tie-half lamination,12,1308.0,180.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,tie-center-splice lamination,12,400.0,180.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,face-rail splice-cover lamination,10,400.0,180.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,leg-lower lamination,4,1495.2,180.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,leg-upper lamination,4,400.0,180.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
support frame,leg-knee gusset lamination,4,450.0,450.0,18.0,PROVISIONAL: verify stock and joint/connection details before cutting
